"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,1,1,27611.4640083969,27611.461935373,855955.3,28,29,31,137535364.517962,4539.88087309269,290.034070407742,290.007815631448
200210,2,1,28849.7297864898,28849.7297864898,490445.4,16,17,17,89381.5375386431,2693.57641736677,289.836056720941,289.836056720941
200210,2,2,25853.2956391623,25853.2993575708,361946.2,11,12,14,204283.893043091,4199.19333350263,290.274515598857,290.251140754667
200210,3,1,28849.7297864898,28849.7297864898,490445.4,16,17,17,89381.5375386431,2693.57641736677,289.836056720941,289.836056720941
200210,3,2,24973.3767261053,24973.3767261053,99893.5,3,4,4,370126.639268732,4471.31864686703,290.132764732,290.132764732
200210,3,3,26292.0237917234,26292.029781594,262920.3,7,8,10,321549.453389839,5068.00467952458,290.3312159456,290.310328766
200210,4,1,28365.6969971712,28365.6969971712,170194.2,5,6,6,457818.940760137,4667.07264277333,289.680864,289.680864
200210,4,2,30088.8746704212,30088.8746704212,90266.6,2,3,3,263007.333196576,4680.86893520925,289.806732176,289.806732176
200210,4,3,28748.0750470044,28748.0750470044,229984.6,7,8,8,52686.0126892308,1641.15942971502,289.963447966,289.963447966
200210,4,4,25853.2956391623,25853.2993575708,361946.2,11,12,14,204283.893043091,4199.19333350263,290.274515598857,290.251140754667
200210,5,1,28365.6969971712,28365.6969971712,170194.2,5,6,6,457818.940760137,4667.07264277333,289.680864,289.680864
200210,5,2,30088.8746704212,30088.8746704212,90266.6,2,3,3,263007.333196576,4680.86893520925,289.806732176,289.806732176
200210,5,3,28748.0750470044,28748.0750470044,229984.6,7,8,8,52686.0126892308,1641.15942971502,289.963447966,289.963447966
200210,5,4,24973.3767261053,24973.3767261053,99893.5,3,4,4,370126.639268732,4471.31864686703,290.132764732,290.132764732
200210,5,5,26292.0237917234,26292.029781594,262920.3,7,8,10,321549.453389839,5068.00467952458,290.3312159456,290.310328766
200210,6,1,28365.6969971712,28365.6969971712,170194.2,5,6,6,457818.940760137,4667.07264277333,289.680864,289.680864
200210,6,2,30088.8746704212,30088.8746704212,90266.6,2,3,3,263007.333196576,4680.86893520925,289.806732176,289.806732176
200210,6,3,29137.7411836416,29137.7411836416,87413.2,2,3,3,6969.54757753434,761.982234119046,289.89324,289.89324
200210,6,4,28514.2753650222,28514.2753650222,142571.4,4,5,5,107673.153005286,2277.62811570481,290.0055727456,290.0055727456
200210,6,5,24973.3767261053,24973.3767261053,99893.5,3,4,4,370126.639268732,4471.31864686703,290.132764732,290.132764732
200210,6,6,26292.0237917234,26292.029781594,262920.3,7,8,10,321549.453389839,5068.00467952458,290.3312159456,290.310328766
200210,7,1,28365.6969971712,28365.6969971712,170194.2,5,6,6,457818.940760137,4667.07264277333,289.680864,289.680864
200210,7,2,30088.8746704212,30088.8746704212,90266.6,2,3,3,263007.333196576,4680.86893520925,289.806732176,289.806732176
200210,7,3,29137.7411836416,29137.7411836416,87413.2,2,3,3,6969.54757753434,761.982234119046,289.89324,289.89324
200210,7,4,28686.8654337185,28686.8654337185,86060.6,2,3,3,256315.308369385,4620.93462877241,289.976632976,289.976632976
200210,7,5,27609.2925191424,27609.2925191424,82827.9,2,3,3,483291.58253622,6345.22706077766,290.0631408,290.0631408
200210,7,6,24525.469956983,24525.469956983,73576.4,2,3,3,336870.208327255,5297.53524414469,290.146533776,290.146533776
200210,7,7,26292.0237917234,26292.029781594,262920.3,7,8,10,321549.453389839,5068.00467952458,290.3312159456,290.310328766
200210,8,1,27944.474856192,27944.474856192,83833.4,2,3,3,2094455.99709823,13209.2503859326,289.6383888,289.6383888
200210,8,2,28786.9191381504,28786.9191381504,86360.8,2,3,3,20889.5839256671,1319.19029336756,289.7233392,289.7233392
200210,8,3,30088.8746704212,30088.8746704212,90266.6,2,3,3,263007.333196576,4680.86893520925,289.806732176,289.806732176
200210,8,4,29137.7411836416,29137.7411836416,87413.2,2,3,3,6969.54757753434,761.982234119046,289.89324,289.89324
200210,8,5,28686.8654337185,28686.8654337185,86060.6,2,3,3,256315.308369385,4620.93462877241,289.976632976,289.976632976
200210,8,6,27609.2925191424,27609.2925191424,82827.9,2,3,3,483291.58253622,6345.22706077766,290.0631408,290.0631408
200210,8,7,24525.469956983,24525.469956983,73576.4,2,3,3,336870.208327255,5297.53524414469,290.146533776,290.146533776
200210,8,8,26292.0237917234,26292.029781594,262920.3,7,8,10,321549.453389839,5068.00467952458,290.3312159456,290.310328766
200210,9,1,27944.474856192,27944.474856192,83833.4,2,3,3,2094455.99709823,13209.2503859326,289.6383888,289.6383888
200210,9,2,28786.9191381504,28786.9191381504,86360.8,2,3,3,20889.5839256671,1319.19029336756,289.7233392,289.7233392
200210,9,3,30088.8746704212,30088.8746704212,90266.6,2,3,3,263007.333196576,4680.86893520925,289.806732176,289.806732176
200210,9,4,29137.7411836416,29137.7411836416,87413.2,2,3,3,6969.54757753434,761.982234119046,289.89324,289.89324
200210,9,5,28686.8654337185,28686.8654337185,86060.6,2,3,3,256315.308369385,4620.93462877241,289.976632976,289.976632976
200210,9,6,27609.2925191424,27609.2925191424,82827.9,2,3,3,483291.58253622,6345.22706077766,290.0631408,290.0631408
200210,9,7,24525.469956983,24525.469956983,73576.4,2,3,3,336870.208327255,5297.53524414469,290.146533776,290.146533776
200210,9,8,25995.5441385984,25995.5441385984,77986.6,2,3,3,195619.660331346,4036.9075382301,290.2330416,290.2330416
