"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,98,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,105,127,366,NA,NA,NA,NA,NA,NA,NA,NA
1,105,132,230,366,NA,NA,NA,NA,NA,NA,NA
1,68,105,129,202,366,NA,NA,NA,NA,NA,NA
1,35,105,130,255,324,366,NA,NA,NA,NA,NA
1,52,105,127,258,287,336,366,NA,NA,NA,NA
1,23,52,105,127,258,279,334,366,NA,NA,NA
1,31,53,98,120,149,231,306,337,366,NA,NA
1,23,55,144,194,232,256,285,312,343,365,NA
1,29,56,112,158,179,199,228,254,284,322,365
1,33,63,109,135,168,184,223,251,279,303,339
1,17,24,31,42,116,164,198,224,252,297,312
1,16,25,53,68,77,123,61,90,147,196,259
