"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,247,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,59,247,365,NA,NA,NA,NA,NA,NA,NA,NA
1,27,60,251,365,NA,NA,NA,NA,NA,NA,NA
1,59,154,185,249,365,NA,NA,NA,NA,NA,NA
1,30,59,153,187,242,365,NA,NA,NA,NA,NA
1,41,64,150,185,247,270,365,NA,NA,NA,NA
1,33,61,150,189,254,286,338,365,NA,NA,NA
1,25,60,150,187,218,246,297,333,365,NA,NA
1,28,62,153,191,216,187,242,272,326,365,NA
1,27,62,98,117,155,190,241,288,307,334,365
1,26,58,74,120,153,176,202,254,271,296,327
1,17,24,31,42,116,164,198,224,252,297,312
1,16,25,53,68,77,123,61,90,147,196,259
