"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,222,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,226,365,NA,NA,NA,NA,NA,NA,NA,NA
1,199,225,317,365,NA,NA,NA,NA,NA,NA,NA
1,81,202,223,325,365,NA,NA,NA,NA,NA,NA
1,73,208,223,308,344,365,NA,NA,NA,NA,NA
1,116,204,223,251,320,339,365,NA,NA,NA,NA
1,110,128,206,223,256,318,340,365,NA,NA,NA
1,21,78,183,208,223,283,318,339,365,NA,NA
1,21,71,132,175,198,223,298,323,347,365,NA
1,32,64,116,150,207,223,252,299,314,337,365
1,33,63,109,135,168,184,223,251,279,303,339
1,17,24,31,42,116,164,198,224,252,297,312
1,16,25,53,68,77,123,61,90,147,196,259
