"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,84,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,84,139,365,NA,NA,NA,NA,NA,NA,NA,NA
1,84,128,155,365,NA,NA,NA,NA,NA,NA,NA
1,84,149,157,236,365,NA,NA,NA,NA,NA,NA
1,84,97,142,161,355,365,NA,NA,NA,NA,NA
1,43,84,138,155,216,235,365,NA,NA,NA,NA
1,11,84,141,155,170,280,334,365,NA,NA,NA
1,69,75,84,130,156,198,270,324,365,NA,NA
1,32,84,87,129,144,154,199,227,239,365,NA
1,84,111,122,137,154,194,193,262,282,329,365
1,6,29,84,93,129,144,155,248,251,273,314
1,42,84,137,154,194,280,295,298,301,314,337
1,57,84,91,97,122,134,154,215,235,274,311
