"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,232,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,232,268,365,NA,NA,NA,NA,NA,NA,NA,NA
1,231,256,283,365,NA,NA,NA,NA,NA,NA,NA
1,166,226,249,276,365,NA,NA,NA,NA,NA,NA
1,52,231,257,282,330,365,NA,NA,NA,NA,NA
1,39,185,232,255,287,349,365,NA,NA,NA,NA
1,98,129,226,247,275,306,338,365,NA,NA,NA
1,24,83,133,177,232,255,284,313,365,NA,NA
1,23,55,144,194,232,256,285,312,343,365,NA
1,29,56,112,158,179,199,228,254,284,322,365
1,33,63,109,135,168,184,223,251,279,303,339
1,17,24,31,42,116,164,198,224,252,297,312
1,16,25,53,68,77,123,61,90,147,196,259
