"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,259,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,249,272,365,NA,NA,NA,NA,NA,NA,NA,NA
1,261,271,337,365,NA,NA,NA,NA,NA,NA,NA
1,16,260,272,288,365,NA,NA,NA,NA,NA,NA
1,148,256,272,288,340,365,NA,NA,NA,NA,NA
1,17,53,110,261,271,320,365,NA,NA,NA,NA
1,26,134,193,215,256,271,288,365,NA,NA,NA
1,43,146,166,257,271,288,320,359,365,NA,NA
1,18,76,154,175,178,196,260,272,288,365,NA
1,5,46,178,198,217,261,272,287,300,355,365
1,31,60,77,116,156,206,226,261,271,317,353
1,7,16,46,58,108,149,192,216,257,261,271
1,16,77,91,96,192,201,209,256,261,272,285
