"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,264,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,38,263,365,NA,NA,NA,NA,NA,NA,NA,NA
1,33,109,260,365,NA,NA,NA,NA,NA,NA,NA
1,27,109,225,270,365,NA,NA,NA,NA,NA,NA
1,46,109,139,266,341,365,NA,NA,NA,NA,NA
1,56,109,139,248,266,301,365,NA,NA,NA,NA
1,29,109,130,184,235,265,340,365,NA,NA,NA
1,28,73,109,130,155,245,269,344,365,NA,NA
1,28,109,137,156,201,241,266,296,345,365,NA
1,28,68,109,124,163,183,214,238,270,323,365
1,32,56,109,145,166,193,242,261,281,317,339
1,17,24,31,42,116,164,198,224,252,297,312
1,16,25,53,68,77,123,61,90,147,196,259
