"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,4.18695344994379,4.28211058676264,1563,40,41,365,719704.296795061,271.100030227428,2.02308091984031,1.5948988675122
2,2.36171522981349,2.48006899841696,905.2,20.3186754094238,41,365,65628.6485758995,118.432053889672,2.02308091984031,1.60345171157417
3,2.71439544924188,2.77477201290848,1012.8,8.869938095046,41,365,35345.5653321741,143.120397210105,2.02308091984031,1.63590608340995
4,2.49830995907047,2.60057104391501,949.2,5.06352993439732,41,365,19226.0478238515,157.802133593888,2.02308091984031,1.61032417861552
5,2.24578685029993,2.29519776176258,837.7,5.49540307448415,41,365,12228.724806008,118.045961890845,2.02308091984031,1.61542634905788
6,2.25945629548214,2.32991906758816,850.4,4.53884826738955,41,365,9964.75458414963,124.221354780371,2.02308091984031,1.51142336427729
7,2.14607772256294,2.21235680734369,807.6,4.3436795258237,41,365,10420.2131647808,131.847305623757,2.02308091984031,1.69606944886259
8,2.23801410841129,2.29859107652514,839,3.63854688398481,41,365,9206.69308547966,145.307099809513,2.02308091984031,1.51292198301735
9,2.09363955276235,2.14976961241357,784.6,3.47495132148961,41,365,8664.40475686186,147.303865137028,2.02308091984031,1.68903357806132
10,2.17076054642921,2.25690048005019,823.7,4.67484049850493,41,365,10602.0406783283,125.023215507139,2.02308091984031,1.55175947629589
11,2.0879820200153,2.16643780460169,790.8,3.90972275485492,41,365,9518.43143260697,138.249713851328,2.02308091984031,1.95105373104971
