"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,262,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,248,290,365,NA,NA,NA,NA,NA,NA,NA,NA
1,114,262,297,365,NA,NA,NA,NA,NA,NA,NA
1,189,257,296,312,365,NA,NA,NA,NA,NA,NA
1,15,57,251,297,312,365,NA,NA,NA,NA,NA
1,7,61,253,297,313,342,365,NA,NA,NA,NA
1,20,37,49,262,297,319,342,365,NA,NA,NA
1,31,54,61,128,156,256,297,313,365,NA,NA
1,4,29,33,55,179,204,260,297,313,365,NA
1,32,57,60,95,141,171,217,261,297,312,365
1,10,26,36,55,62,99,145,201,255,283,298
1,17,24,31,42,116,164,198,224,252,297,312
1,16,25,53,68,77,123,61,90,147,196,259
