"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,95,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,86,95,366,NA,NA,NA,NA,NA,NA,NA,NA
1,88,94,262,366,NA,NA,NA,NA,NA,NA,NA
1,80,94,142,166,366,NA,NA,NA,NA,NA,NA
1,86,93,162,211,262,366,NA,NA,NA,NA,NA
1,76,89,93,113,160,280,366,NA,NA,NA,NA
1,88,93,96,139,149,345,350,366,NA,NA,NA
1,27,61,88,95,138,166,220,293,366,NA,NA
1,44,62,88,94,100,164,193,210,362,366,NA
1,18,84,89,92,121,163,232,246,255,311,366
1,5,88,93,102,112,145,163,169,217,329,350
1,16,21,88,94,110,115,162,215,256,315,343
1,16,57,75,88,93,97,141,158,165,196,253
