"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,285,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,285,311,365,NA,NA,NA,NA,NA,NA,NA,NA
1,21,284,300,365,NA,NA,NA,NA,NA,NA,NA
1,193,230,285,300,365,NA,NA,NA,NA,NA,NA
1,47,201,232,285,301,365,NA,NA,NA,NA,NA
1,21,48,214,285,300,324,365,NA,NA,NA,NA
1,38,84,193,214,285,300,348,365,NA,NA,NA
1,29,59,113,188,216,285,300,345,365,NA,NA
1,40,79,140,183,216,238,285,300,332,365,NA
1,26,50,112,132,183,206,249,281,314,345,365
1,33,63,109,135,168,184,223,251,279,303,350
1,22,27,32,44,54,65,128,160,227,268,293
1,10,23,41,53,68,79,128,177,193,221,249
