"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,12982.792604309,12259.1386386064,4474585.6,40,41,365,10700567441604,1045336.03689195,2.02308091984031,1.5948988675122
2,9697.26533567486,9725.11882805047,3549668.4,13.2317536692782,41,365,3344915828854.72,1084274.14128687,2.02308091984031,1.70578340634785
3,9322.0426513937,9634.47583254593,3516583.6,3.86396503922636,41,365,2513560928318.01,2270762.77983208,2.02308091984031,1.70574364645744
4,8627.98737632545,8895.45383767622,3246840.7,2.8251152846779,41,365,1950430148264.51,2739343.63454495,2.02308091984031,1.74635239659543
5,7844.50611981395,7969.60806523295,2908906.9,2.4078893547468,41,365,1553250062877.15,2951144.83163466,2.02308091984031,1.61745981446189
6,7844.84965494847,8115.94910966816,2962321.4,2.24740493169324,41,365,1681673310587.88,3355578.54487327,2.02308091984031,1.65919650212987
7,7637.58722364788,7974.98706029358,2910870.4,2.34204780944889,41,365,1531652703117.51,3035162.22712708,2.02308091984031,1.73050647786458
8,8129.85632084671,8119.37043990884,2963570.2,2.64479525293978,41,365,1638901867148.87,2706721.62852812,2.02308091984031,1.79919444172566
9,8403.50762146357,8761.63523478677,3197996.8,2.52841428690046,41,365,1594686437490.71,2816187.9959151,2.02308091984031,2.14374128443836
10,7794.73315908476,7874.70353132961,2874266.7,2.44398040948554,41,365,1569764703487.19,2912387.00161207,2.02308091984031,1.73674332972128
11,8937.11400427635,9395.66625383048,3429418.3,4.43224835734465,41,365,2811466854114.83,2128772.35273887,2.02308091984031,2.24725861583196
