"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,207,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,67,197,365,NA,NA,NA,NA,NA,NA,NA,NA
1,62,244,262,365,NA,NA,NA,NA,NA,NA,NA
1,49,233,262,268,365,NA,NA,NA,NA,NA,NA
1,46,181,229,262,266,365,NA,NA,NA,NA,NA
1,74,185,208,218,262,266,365,NA,NA,NA,NA
1,60,140,236,251,262,268,289,365,NA,NA,NA
1,32,56,85,114,231,234,262,268,365,NA,NA
1,37,41,50,177,194,259,262,268,355,365,NA
1,8,12,68,138,171,228,262,270,289,296,365
1,29,40,179,208,230,243,258,262,270,284,333
1,26,37,41,106,171,182,205,220,262,268,289
1,14,23,65,176,236,251,256,262,266,269,292
