"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,186,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,122,138,365,NA,NA,NA,NA,NA,NA,NA,NA
1,78,128,155,365,NA,NA,NA,NA,NA,NA,NA
1,80,126,199,227,365,NA,NA,NA,NA,NA,NA
1,72,129,156,227,320,365,NA,NA,NA,NA,NA
1,44,79,128,180,294,336,365,NA,NA,NA,NA
1,39,78,129,151,224,248,309,365,NA,NA,NA
1,26,61,78,129,199,225,292,344,365,NA,NA
1,47,75,80,129,196,226,262,282,337,365,NA
1,28,49,57,76,129,151,222,296,322,340,365
1,19,29,33,36,77,127,169,190,227,293,332
1,22,27,32,44,54,65,128,160,227,268,293
1,10,23,41,53,68,79,128,177,193,221,249
