"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,21,30,NA,NA,NA,NA,NA,NA,NA,NA
1,13,18,21,30,NA,NA,NA,NA,NA,NA,NA
1,13,18,21,27,30,NA,NA,NA,NA,NA,NA
1,10,13,18,21,27,30,NA,NA,NA,NA,NA
1,9,13,18,21,24,27,30,NA,NA,NA,NA
1,7,10,13,18,21,24,27,30,NA,NA,NA
1,4,7,10,13,18,21,24,27,30,NA,NA
