"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,4012.00094608599,4012.00094608599,124372,30,31,31,75890283.9503781,3248.22527745985,7.92337556989247,7.92337556989247
2,1,5350.24094847634,5350.24094847634,37451.7,6,7,7,42120.3096077068,1435.11438157813,8.53346994285714,8.53346994285714
2,2,3621.6809453888,3621.6809453888,86920.3,23,24,24,56034.3270230007,2450.5469025299,7.74543137777778,7.74543137777778
3,1,5087.9713455744,5087.9713455744,30527.8,5,6,6,12849.8362427576,781.891477021591,7.82723546666667,7.82723546666667
3,2,15182.3141937664,15182.3141937664,45546.9,2,3,3,1277016.80735036,10314.3261175171,35.2607086222222,35.2607086222222
3,3,2195.32993972364,2195.32993972364,48297.3,21,22,22,2115.88989573836,459.242704432244,4.22177745454545,4.22177745454545
4,1,5087.9713455744,5087.9713455744,30527.8,5,6,6,12849.8362427576,781.891477021591,7.82723546666667,7.82723546666667
4,2,15182.3141937664,15182.3141937664,45546.9,2,3,3,1277016.80735036,10314.3261175171,35.2607086222222,35.2607086222222
4,3,2775.6802432512,2775.6802432512,47186.6,16,17,17,3008.60853443535,494.18348997259,5.25526494117647,5.25526494117647
4,4,222.13890772992,222.13890772992,1110.7,4,5,5,51.5962538025807,49.8583824991622,0.70792,0.70792
5,1,5087.9713455744,5087.9713455744,30527.8,5,6,6,12849.8362427576,781.891477021591,7.82723546666667,7.82723546666667
5,2,15182.3141937664,15182.3141937664,45546.9,2,3,3,1277016.80735036,10314.3261175171,35.2607086222222,35.2607086222222
5,3,9637.4815225344,9637.4815225344,28912.4,2,3,3,47927.1692585639,1998.17463445294,18.2596165333333,18.2596165333333
5,4,2149.62647448137,2149.62647448137,15047.4,6,7,7,2395.25752380986,342.229029507029,3.8086096,3.8086096
5,5,361.4523987456,361.4523987456,4337.4,11,12,12,287.461932324342,135.018160909215,0.953332266666667,0.953332266666667
6,1,8281.3156672512,8281.3156672512,24843.9,2,3,3,41478.3492985138,1858.88825936138,12.8086325333333,12.8086325333333
6,2,1894.6270238976,1894.6270238976,5683.9,2,3,3,1683.71257168671,374.521306278654,2.8458384,2.8458384
6,3,15182.3141937664,15182.3141937664,45546.9,2,3,3,1277016.80735036,10314.3261175171,35.2607086222222,35.2607086222222
6,4,9637.4815225344,9637.4815225344,28912.4,2,3,3,47927.1692585639,1998.17463445294,18.2596165333333,18.2596165333333
6,5,2149.62647448137,2149.62647448137,15047.4,6,7,7,2395.25752380986,342.229029507029,3.8086096,3.8086096
6,6,361.4523987456,361.4523987456,4337.4,11,12,12,287.461932324342,135.018160909215,0.953332266666667,0.953332266666667
7,1,8281.3156672512,8281.3156672512,24843.9,2,3,3,41478.3492985138,1858.88825936138,12.8086325333333,12.8086325333333
7,2,1894.6270238976,1894.6270238976,5683.9,2,3,3,1683.71257168671,374.521306278654,2.8458384,2.8458384
7,3,15182.3141937664,15182.3141937664,45546.9,2,3,3,1277016.80735036,10314.3261175171,35.2607086222222,35.2607086222222
7,4,9637.4815225344,9637.4815225344,28912.4,2,3,3,47927.1692585639,1998.17463445294,18.2596165333333,18.2596165333333
7,5,2379.6156535296,2379.6156535296,14277.7,5,6,6,2791.67624960285,364.443499732153,4.1838072,4.1838072
7,6,640.1576710656,640.1576710656,2560.6,3,4,4,586.656931840467,178.01334138997,1.4087608,1.4087608
7,7,282.9432778752,282.9432778752,2546.5,8,9,9,127.316953422962,82.7943529841201,0.818040888888889,0.818040888888889
8,1,8281.3156672512,8281.3156672512,24843.9,2,3,3,41478.3492985138,1858.88825936138,12.8086325333333,12.8086325333333
8,2,1894.6270238976,1894.6270238976,5683.9,2,3,3,1683.71257168671,374.521306278654,2.8458384,2.8458384
8,3,15182.3141937664,15182.3141937664,45546.9,2,3,3,1277016.80735036,10314.3261175171,35.2607086222222,35.2607086222222
8,4,9637.4815225344,9637.4815225344,28912.4,2,3,3,47927.1692585639,1998.17463445294,18.2596165333333,18.2596165333333
8,5,2664.99979425792,2664.99979425792,13325,4,5,5,3614.47422700981,417.303152939829,4.64678688,4.64678688
8,6,800.7954794496,800.7954794496,2402.4,2,3,3,526.05930979019,209.343705698543,1.63293546666667,1.63293546666667
8,7,486.3661853184,486.3661853184,1945.5,3,4,4,174.326138949108,97.0379704173714,1.1822264,1.1822264
8,8,244.566279343543,244.566279343543,1712,6,7,7,63.3163599744217,55.6414845811434,0.748372571428571,0.748372571428571
9,1,8281.3156672512,8281.3156672512,24843.9,2,3,3,41478.3492985138,1858.88825936138,12.8086325333333,12.8086325333333
9,2,1894.6270238976,1894.6270238976,5683.9,2,3,3,1683.71257168671,374.521306278654,2.8458384,2.8458384
9,3,15182.3141937664,15182.3141937664,45546.9,2,3,3,1277016.80735036,10314.3261175171,35.2607086222222,35.2607086222222
9,4,9637.4815225344,9637.4815225344,28912.4,2,3,3,47927.1692585639,1998.17463445294,18.2596165333333,18.2596165333333
9,5,2664.99979425792,2664.99979425792,13325,4,5,5,3614.47422700981,417.303152939829,4.64678688,4.64678688
9,6,800.7954794496,800.7954794496,2402.4,2,3,3,526.05930979019,209.343705698543,1.63293546666667,1.63293546666667
9,7,486.3661853184,486.3661853184,1945.5,3,4,4,174.326138949108,97.0379704173714,1.1822264,1.1822264
9,8,284.0714191872,284.0714191872,852.2,2,3,3,27.6748932800954,48.015950412612,0.811748266666667,0.811748266666667
9,9,214.9374244608,214.9374244608,859.7,3,4,4,44.8860579022902,49.2397888081883,0.7008408,0.7008408
