"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1577.49717354048,1577.49717354048,47324.9,29,30,30,3419162.99142537,702.26816500001,2.99709730666667,2.99709730666667
2,1577.49717354048,1577.49717354048,47324.9,9.20563300842986,30,30,2437994.52581331,1160.20701833679,2.99709730666667,2.99709730666667
3,1577.49717354048,1577.49717354048,47324.9,8.71574536325652,30,30,1584408.5314672,969.320550349591,2.99709730666667,2.99709730666667
4,1577.49717354048,1577.49717354048,47324.9,7.32057899589237,30,30,1467325.72426762,1049.32481925398,2.99709730666667,2.99709730666667
5,1577.49717354048,1577.49717354048,47324.9,7.34839537155425,30,30,1470218.92900726,1047.60520884736,2.99709730666667,2.99709730666667
6,1577.49717354048,1577.49717354048,47324.9,7.33640534317171,30,30,1469019.22215902,1048.36155970398,2.99709730666667,2.99709730666667
7,1577.49717354048,1577.49717354048,47324.9,7.3370212881358,30,30,1469080.89888626,1048.32265440356,2.99709730666667,2.99709730666667
8,1577.49717354048,1577.49717354048,47324.9,7.39813366453873,30,30,1475792.83259269,1044.70806667483,2.99709730666667,2.99709730666667
9,1577.49717354048,1577.49717354048,47324.9,7.39945414065423,30,30,1475939.23586434,1044.63118919394,2.99709730666667,2.99709730666667
