"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,733.788386868595,733.788386868595,22013.7,29,30,30,951933.930916556,370.549714593147,4.07237901884444,4.07237901884444
2,733.788386868595,733.788386868595,22013.7,10.4413755338648,30,30,752547.206243686,594.767932316358,4.07237901884444,4.07237901884444
3,733.788386868595,733.788386868595,22013.7,10.873496971426,30,30,512163.154800906,478.358471459483,4.07237901884444,4.07237901884444
4,733.788386868595,733.788386868595,22013.7,9.79829002074275,30,30,489584.486742602,499.452464463254,4.07237901884444,4.07237901884444
5,733.788386868595,733.788386868595,22013.7,9.75798004929863,30,30,488574.457182237,500.252997893885,4.07237901884444,4.07237901884444
6,733.788386868595,733.788386868595,22013.7,9.90472120838619,30,30,511585.058596394,507.045145057816,4.07237901884444,4.07237901884444
7,749.501370127219,749.501370127219,22485.1,10.1237481845247,34,34,517717.005986832,503.035579393046,4.16139759911111,4.16139759911111
8,733.788386868595,733.788386868595,22013.7,10.0785652939084,30,30,529739.201384178,510.287879819706,4.07237901884444,4.07237901884444
9,733.788386868595,733.788386868595,22013.8,9.57424599376509,30,30,541351.966648787,533.032814912115,4.07237901884444,4.07237901884444
