"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23,26,29,NA,NA,NA,NA,NA,NA,NA,NA
1,20,23,26,29,NA,NA,NA,NA,NA,NA,NA
1,17,20,23,26,29,NA,NA,NA,NA,NA,NA
1,14,17,20,23,26,29,NA,NA,NA,NA,NA
1,11,14,17,20,23,26,29,NA,NA,NA,NA
1,8,11,16,19,22,25,28,31,NA,NA,NA
1,4,9,12,15,18,22,25,28,31,NA,NA
