"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,12,31,NA,NA,NA,NA,NA,NA,NA,NA
1,5,12,19,31,NA,NA,NA,NA,NA,NA,NA
1,5,9,12,19,31,NA,NA,NA,NA,NA,NA
1,5,9,12,18,22,31,NA,NA,NA,NA,NA
1,5,9,12,18,21,24,31,NA,NA,NA,NA
1,5,9,12,18,21,24,27,31,NA,NA,NA
1,5,9,12,16,19,22,25,28,31,NA,NA
