"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,107,117,366,NA,NA,NA,NA,NA,NA,NA,NA
1,107,124,253,366,NA,NA,NA,NA,NA,NA,NA
1,110,160,167,306,366,NA,NA,NA,NA,NA,NA
1,59,94,107,162,168,366,NA,NA,NA,NA,NA
1,101,110,125,161,168,183,366,NA,NA,NA,NA
1,34,109,163,169,189,266,355,366,NA,NA,NA
1,65,94,108,130,163,167,309,318,366,NA,NA
1,66,79,89,109,152,268,220,307,336,366,NA
1,28,77,84,109,113,160,168,173,250,257,366
1,40,85,89,95,109,153,157,252,269,324,356
1,17,102,109,117,126,154,160,168,293,304,315
1,59,108,113,116,164,168,174,241,248,251,283
