"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,119,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,114,267,366,NA,NA,NA,NA,NA,NA,NA,NA
1,109,155,264,366,NA,NA,NA,NA,NA,NA,NA
1,25,117,157,261,366,NA,NA,NA,NA,NA,NA
1,22,112,155,265,285,366,NA,NA,NA,NA,NA
1,34,110,155,260,293,316,366,NA,NA,NA,NA
1,33,59,113,155,261,286,336,366,NA,NA,NA
1,24,62,118,140,197,282,302,343,366,NA,NA
1,38,72,126,148,181,207,235,275,346,365,NA
1,20,42,74,132,171,209,239,271,309,349,365
1,33,63,109,135,168,184,223,251,279,303,339
1,10,37,49,61,82,130,155,201,224,268,291
1,4,9,24,45,58,72,132,174,197,226,264
