"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,12188.9877898449,12188.3800733514,4448758.7,45,46,365,18490163668.7378,40826.8507361419,2.92330790042427,2.91805239582609
2,12219.9794338387,12213.0464916936,4457762,42.5134836251254,46,365,4440334000.50242,20617.1124437034,2.92330790042427,2.92924798007083
3,12139.0690955388,12141.5343957569,4431660,41.5665805983469,46,365,2027144070.40675,14097.5317995961,2.92330790042427,3.07965585879421
4,12128.3602355366,12122.8387723255,4424836.1,33.9889168878366,46,365,1925363275.68558,15295.6822972233,2.92330790042427,3.07092648203523
5,12194.1170132994,12185.7913600734,4447813.9,33.7137188748688,46,365,1573094998.20021,13886.2813580248,2.92330790042427,3.17247804553631
6,12107.814235877,12104.7769623922,4418243.6,20.4091261280904,46,365,1275013326.90741,16466.2252596487,2.92330790042427,3.07467522266912
7,12143.2541505,12142.9788114826,4432187.4,20.6605993979539,46,365,822063023.968741,13131.0181176702,2.92330790042427,3.07470885643049
8,12172.8273390329,12169.8471563912,4441994.3,20.113148661795,46,365,717756808.437196,12456.5771599717,2.92330790042427,3.07196299143849
9,12228.6217540811,12236.7828346088,4466425.7,18.4333391068696,46,365,622498913.982878,12188.3790332776,2.92330790042427,3.22361644921279
10,12211.9391337796,12226.3792899529,4462628.4,17.5721054001074,46,365,544531535.685276,11715.6981815897,2.92330790042427,3.24993396860952
11,12248.3600362449,12255.0967245974,4473110.4,10.7978447249243,46,365,610698725.444773,16590.3296382775,2.92330790042427,3.02854645640705
12,12121.8928771915,12114.2927973085,4421716.9,7.24731011484473,46,365,871107757.692643,25746.1939651302,2.92330790042427,2.95644714566888
