"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,187,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,75,177,365,NA,NA,NA,NA,NA,NA,NA,NA
1,41,109,176,365,NA,NA,NA,NA,NA,NA,NA
1,41,110,178,322,365,NA,NA,NA,NA,NA,NA
1,44,106,164,229,300,365,NA,NA,NA,NA,NA
1,45,108,138,183,226,317,365,NA,NA,NA,NA
1,44,107,147,187,223,255,311,365,NA,NA,NA
1,47,107,141,181,229,281,312,330,365,NA,NA
1,45,110,134,190,229,247,284,314,338,365,NA
1,36,77,147,179,205,228,245,277,304,339,365
1,33,63,109,135,168,184,223,251,279,303,339
1,10,37,49,61,82,130,155,201,224,268,291
1,4,9,24,45,58,72,132,174,197,226,264
