"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,220,288,365,NA,NA,NA,NA,NA,NA,NA,NA
1,47,226,288,365,NA,NA,NA,NA,NA,NA,NA
1,42,105,254,288,365,NA,NA,NA,NA,NA,NA
1,39,64,115,227,288,365,NA,NA,NA,NA,NA
1,36,109,230,255,288,329,365,NA,NA,NA,NA
1,26,44,72,146,239,288,326,365,NA,NA,NA
1,20,33,118,173,210,214,288,325,365,NA,NA
1,19,26,71,108,161,201,236,275,288,365,NA
1,19,39,71,108,138,203,258,288,297,340,365
1,4,22,26,48,82,138,199,233,288,313,359
1,22,27,47,52,112,182,206,222,274,280,288
1,19,23,26,32,65,100,135,216,259,270,280
