"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,233,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,205,244,365,NA,NA,NA,NA,NA,NA,NA,NA
1,149,208,245,365,NA,NA,NA,NA,NA,NA,NA
1,153,211,233,270,365,NA,NA,NA,NA,NA,NA
1,74,139,169,209,243,365,NA,NA,NA,NA,NA
1,74,125,152,206,237,291,365,NA,NA,NA,NA
1,40,75,121,188,209,252,277,365,NA,NA,NA
1,37,78,141,179,210,249,269,327,365,NA,NA
1,38,72,126,148,181,207,235,275,346,365,NA
1,20,42,74,132,171,209,239,271,309,349,365
1,33,63,109,135,168,184,223,251,279,303,339
1,10,37,49,61,82,130,155,201,224,268,291
1,4,9,24,45,58,72,132,174,197,226,264
