"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,149,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,149,235,365,NA,NA,NA,NA,NA,NA,NA,NA
1,97,151,177,365,NA,NA,NA,NA,NA,NA,NA
1,97,150,181,325,365,NA,NA,NA,NA,NA,NA
1,115,152,172,202,258,365,NA,NA,NA,NA,NA
1,110,150,182,201,234,317,365,NA,NA,NA,NA
1,43,109,150,175,203,246,318,365,NA,NA,NA
1,55,97,150,177,203,220,254,338,365,NA,NA
1,54,77,118,150,175,199,244,304,338,365,NA
1,24,48,78,112,150,179,206,258,297,331,365
1,30,50,74,120,153,176,202,252,273,296,327
1,10,37,49,61,82,130,155,201,224,268,291
1,4,9,24,45,58,72,132,174,197,226,264
