"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,192,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,158,192,365,NA,NA,NA,NA,NA,NA,NA,NA
1,144,167,192,365,NA,NA,NA,NA,NA,NA,NA
1,90,141,160,192,365,NA,NA,NA,NA,NA,NA
1,33,93,130,164,192,365,NA,NA,NA,NA,NA
1,28,92,110,137,168,192,365,NA,NA,NA,NA
1,26,58,96,117,145,167,187,365,NA,NA,NA
1,28,68,106,155,173,241,265,342,365,NA,NA
1,31,50,105,152,178,203,228,255,303,365,NA
1,28,59,105,131,155,180,242,269,295,325,365
1,32,56,109,144,160,183,205,239,258,287,339
1,10,37,49,61,82,130,155,201,224,268,291
1,4,9,24,45,58,72,132,174,197,226,264
