"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,136,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,136,243,365,NA,NA,NA,NA,NA,NA,NA,NA
1,135,222,293,365,NA,NA,NA,NA,NA,NA,NA
1,134,164,228,294,365,NA,NA,NA,NA,NA,NA
1,132,170,225,271,292,365,NA,NA,NA,NA,NA
1,133,164,222,261,287,313,365,NA,NA,NA,NA
1,37,134,156,224,252,292,336,365,NA,NA,NA
1,26,130,171,204,223,258,291,314,365,NA,NA
1,46,68,136,180,227,260,292,317,334,365,NA
1,33,38,47,60,132,155,182,227,270,291,365
1,17,30,44,52,134,182,201,223,258,296,345
1,10,37,49,61,82,130,155,201,224,268,291
1,4,9,24,45,58,72,132,174,197,226,264
