"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,9608.43047441305,9608.4405588439,3507080.8,362,363,365,2960511899.49662,5623.82298633622,2.2361742695379,2.24849186364004
2,9608.42538437173,9608.24491731428,3507009.4,306.997452691619,363,365,1467507230.96949,4302.15781403737,2.2361742695379,2.23764162140315
3,9608.42538437173,9608.24491731428,3507009.4,143.830523279708,363,365,1031684931.9721,5293.77723935411,2.2361742695379,2.23764162140315
4,9608.42538437173,9608.24491731428,3507009.4,166.972517722476,363,365,758893491.103038,4208.96383918303,2.2361742695379,2.23764162140315
5,9608.42538437173,9608.24491731428,3507009.3,150.964350691341,363,365,950497077.900756,4957.71736384606,2.2361742695379,2.23764162140315
6,9608.42538437173,9608.24491731428,3507009.3,113.821291470958,363,365,766650705.125015,5141.34936919664,2.2361742695379,2.23764162140315
7,9746.87970328524,9746.87969803864,3557611.1,165.055506761699,387,389,795825502.309056,4335.48828519531,2.28299396488037,2.2829922193242
8,9608.42878146302,9608.42846271092,3507076.3,110.813846397733,363,365,751911700.934757,5161.82354186459,2.2361742695379,2.23618612874069
9,9608.42538437173,9608.24491731428,3507009.6,140.879055340039,363,365,697401114.528511,4398.58459823313,2.2361742695379,2.23764162140315
10,9608.4275905733,9608.42762117514,3507076.1,104.858447975499,363,365,687665954.38379,5077.80639597827,2.2361742695379,2.2361819854021
11,9608.42738310148,9608.4273733657,3507076,117.819528820708,363,365,668566765.838417,4717.32224306083,2.2361742695379,2.23617368768584
12,9608.42538424452,9608.32847424019,3507039.8,96.6639941751176,363,365,641925424.312802,5114.80320542863,2.2361742695379,2.23694559881767
13,9611.76896345677,9611.76862823791,3508295.6,107.144773269971,461,463,679037172.993098,4990.47879998154,2.23706023626667,2.23707174192181
14,9608.4275905733,9608.42762689241,3507075.9,85.1738906529215,363,365,631175733.703105,5412.3267388018,2.2361742695379,2.23618422227042
