"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,1294.11702770397,1295.12307777637,40148.8,19,20,31,5226463.85559831,1097.74481569682,0.359418452031386,0.050828656
2,1,219.798843623424,219.798843623424,659.4,2,3,3,26.8946731999649,47.3342704566006,0.0462507733333333,0.0462507733333333
2,2,1343.38953807216,1345.76915015807,37681.5,16,17,28,7544.07485033255,1288.89486916,0.392972131891892,0.0516365176470588
3,1,219.798843623424,219.798843623424,659.4,2,3,3,26.8946731999649,47.3342704566006,0.0462507733333333,0.0462507733333333
3,2,365.793595250688,365.793595250688,1097.4,2,3,3,369.683306738097,175.492060131014,0.0925015466666667,0.0925015466666667
3,3,1360.36324400833,1361.10632571214,34027.7,13,14,25,12385.0415943051,1667.03583252976,0.429028602118919,0.0428797257142857
