"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,110,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,139,157,366,NA,NA,NA,NA,NA,NA,NA,NA
1,70,110,166,366,NA,NA,NA,NA,NA,NA,NA
1,85,110,169,347,366,NA,NA,NA,NA,NA,NA
1,86,110,141,157,248,366,NA,NA,NA,NA,NA
1,84,107,138,168,216,326,366,NA,NA,NA,NA
1,55,78,108,144,138,152,157,366,NA,NA,NA
1,22,64,108,138,157,169,286,313,366,NA,NA
1,28,63,110,127,140,157,236,291,310,366,NA
1,53,72,109,145,149,157,185,208,284,324,366
1,40,54,65,109,136,157,172,237,249,286,306
1,4,76,109,116,140,157,161,180,184,268,315
1,29,71,83,109,127,141,148,153,157,201,250
