"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,19,22,31,NA,NA,NA,NA,NA,NA,NA,NA
1,13,19,22,31,NA,NA,NA,NA,NA,NA,NA
1,13,16,19,22,31,NA,NA,NA,NA,NA,NA
1,13,16,19,23,26,31,NA,NA,NA,NA,NA
1,7,13,16,19,23,26,31,NA,NA,NA,NA
1,4,7,13,16,19,23,26,31,NA,NA,NA
1,4,7,10,13,16,19,23,26,31,NA,NA
