"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,20,31,NA,NA,NA,NA,NA,NA,NA,NA
1,6,9,24,31,NA,NA,NA,NA,NA,NA,NA
1,6,9,14,24,31,NA,NA,NA,NA,NA,NA
1,6,9,12,23,28,31,NA,NA,NA,NA,NA
1,4,7,10,21,25,28,31,NA,NA,NA,NA
1,5,8,11,14,19,22,25,28,NA,NA,NA
1,4,7,13,16,19,22,25,28,31,NA,NA
