"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,294.974819587141,295.409165799851,8862.3,28,29,30,11640804.2236531,1320.77475190831,3.4907110448,3.33947345710345
2,281.284856792711,281.362326420496,8440.8,11.3424988633706,29,30,9185867.04345654,1973.4459868682,3.4907110448,3.2878460656732
3,332.401867901998,337.718420671448,10131.5,6.32994680698579,29,30,4333795.0517056,1999.3528770869,3.4907110448,3.41376171395556
4,332.401867901998,337.718420671448,10131.5,4.03607023976592,29,30,3892301.19300493,2716.96372465027,3.4907110448,3.41376171395556
5,332.401867901998,337.718420671448,10131.5,3.93808100955811,29,30,3844670.20446688,2760.41406387775,3.4907110448,3.41376171395556
6,332.401867901998,337.718420671448,10131.4,3.9200521461666,29,30,3835880.08288384,2768.70736023085,3.4907110448,3.41376171395556
7,332.401867901998,337.718420671448,10131.4,3.9181767429367,29,30,3834962.31117249,2769.57453452075,3.4907110448,3.41376171395556
8,332.401867901998,337.718420671448,10131.5,3.91667322236228,29,30,3834226.40340735,2770.27048982246,3.4907110448,3.41376171395556
9,332.401867901998,337.718420671448,10131.5,3.91666375967649,29,30,3834221.77165207,2770.2748720875,3.4907110448,3.41376171395556
