"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,3.21728311333171,3.21728311333171,96.5,29,30,30,558.172607987683,8.97278660891191,0.192267925688889,0.192267925688889
2,1,1.07530104446858,1.07530104446858,28,25,26,26,0.00334847420997869,0.619721764549499,0.11468304,0.11468304
2,2,17.1401665609421,17.1401665609421,68.6,3,4,4,6.53381218778542,18.786408959128,0.696569682666667,0.696569682666667
3,1,1.2650079596544,1.2650079596544,7.6,5,6,6,0.00440857527201771,0.457980316364552,0.083817728,0.083817728
3,2,1.01838896991283,1.01838896991283,20.4,19,20,20,0.000441071233179016,0.201688799837529,0.1239426336,0.1239426336
3,3,17.1401665609421,17.1401665609421,68.6,3,4,4,6.53381218778542,18.786408959128,0.696569682666667,0.696569682666667
4,1,1.43718787694592,1.43718787694592,4.3,2,3,3,0.00126314570245054,0.324391358577157,0.086083072,0.086083072
4,2,1.03163602655232,1.03163602655232,4.1,3,4,4,0.0027439972583602,0.384992514437302,0.079853376,0.079853376
4,3,1.02735365363874,1.02735365363874,19.5,18,19,19,0.000323307324972042,0.169174560810576,0.126531385263158,0.126531385263158
4,4,17.1401665609421,17.1401665609421,68.6,3,4,4,6.53381218778542,18.786408959128,0.696569682666667,0.696569682666667
5,1,1.43718787694592,1.43718787694592,4.3,2,3,3,0.00126314570245054,0.324391358577157,0.086083072,0.086083072
5,2,1.03163602655232,1.03163602655232,4.1,3,4,4,0.0027439972583602,0.384992514437302,0.079853376,0.079853376
5,3,0.8193427569152,0.8193427569152,4.9,5,6,6,0.00122417797407531,0.241334806881873,0.106345315555556,0.106345315555556
5,4,1.12335868289575,1.12335868289575,14.6,12,13,13,0.000352403064608959,0.153494384407884,0.135848032820513,0.135848032820513
5,5,17.1401665609421,17.1401665609421,68.6,3,4,4,6.53381218778542,18.786408959128,0.696569682666667,0.696569682666667
6,1,1.43718787694592,1.43718787694592,4.3,2,3,3,0.00126314570245054,0.324391358577157,0.086083072,0.086083072
6,2,1.03163602655232,1.03163602655232,4.1,3,4,4,0.0027439972583602,0.384992514437302,0.079853376,0.079853376
6,3,0.8193427569152,0.8193427569152,4.9,5,6,6,0.00122417797407531,0.241334806881873,0.106345315555556,0.106345315555556
6,4,1.0555457583744,1.0555457583744,4.2,3,4,4,0.000253476613016882,0.117011728977229,0.11893056,0.11893056
6,5,1.1534977604608,1.1534977604608,10.4,8,9,9,0.000320881726477445,0.131440768767988,0.14336690962963,0.14336690962963
6,6,17.1401665609421,17.1401665609421,68.6,3,4,4,6.53381218778542,18.786408959128,0.696569682666667,0.696569682666667
7,1,1.43718787694592,1.43718787694592,4.3,2,3,3,0.00126314570245054,0.324391358577157,0.086083072,0.086083072
7,2,1.03163602655232,1.03163602655232,4.1,3,4,4,0.0027439972583602,0.384992514437302,0.079853376,0.079853376
7,3,0.7828254116352,0.7828254116352,2.3,2,3,3,0.00229196676850989,0.436965058477766,0.0953332266666667,0.0953332266666667
7,4,0.8558601021952,0.8558601021952,2.6,2,3,3,0.00140836175299167,0.342530827191002,0.117357404444444,0.117357404444444
7,5,1.0555457583744,1.0555457583744,4.2,3,4,4,0.000253476613016882,0.117011728977229,0.11893056,0.11893056
7,6,1.1534977604608,1.1534977604608,10.4,8,9,9,0.000320881726477445,0.131440768767988,0.14336690962963,0.14336690962963
7,7,17.1401665609421,17.1401665609421,68.6,3,4,4,6.53381218778542,18.786408959128,0.696569682666667,0.696569682666667
8,1,1.43718787694592,1.43718787694592,4.3,2,3,3,0.00126314570245054,0.324391358577157,0.086083072,0.086083072
8,2,1.03163602655232,1.03163602655232,4.1,3,4,4,0.0027439972583602,0.384992514437302,0.079853376,0.079853376
8,3,0.7828254116352,0.7828254116352,2.3,2,3,3,0.00229196676850989,0.436965058477766,0.0953332266666667,0.0953332266666667
8,4,0.8558601021952,0.8558601021952,2.6,2,3,3,0.00140836175299167,0.342530827191002,0.117357404444444,0.117357404444444
8,5,1.0555457583744,1.0555457583744,4.2,3,4,4,0.000253476613016882,0.117011728977229,0.11893056,0.11893056
8,6,1.2687022826496,1.2687022826496,6.3,4,5,5,0.000638025132209476,0.175326673503538,0.160084309333333,0.160084309333333
8,7,1.0094921077248,1.0094921077248,4,3,4,4,0.000630619863446797,0.184562843225666,0.12247016,0.12247016
8,8,17.1401665609421,17.1401665609421,68.6,3,4,4,6.53381218778542,18.786408959128,0.696569682666667,0.696569682666667
9,1,1.43718787694592,1.43718787694592,4.3,2,3,3,0.00126314570245054,0.324391358577157,0.086083072,0.086083072
9,2,1.03163602655232,1.03163602655232,4.1,3,4,4,0.0027439972583602,0.384992514437302,0.079853376,0.079853376
9,3,0.7828254116352,0.7828254116352,2.3,2,3,3,0.00229196676850989,0.436965058477766,0.0953332266666667,0.0953332266666667
9,4,0.8558601021952,0.8558601021952,2.6,2,3,3,0.00140836175299167,0.342530827191002,0.117357404444444,0.117357404444444
9,5,1.0555457583744,1.0555457583744,4.2,3,4,4,0.000253476613016882,0.117011728977229,0.11893056,0.11893056
9,6,1.4104783838208,1.4104783838208,4.2,2,3,3,0.000292835545294897,0.156190439861672,0.173361742222222,0.173361742222222
9,7,1.0635572606976,1.0635572606976,3.2,2,3,3,0.000726124108677762,0.245950653227277,0.137808426666667,0.137808426666667
9,8,0.986457636864,0.986457636864,3,2,3,3,0.00119983122241637,0.316156876088795,0.11893056,0.11893056
9,9,17.1401665609421,17.1401665609421,68.6,3,4,4,6.53381218778542,18.786408959128,0.696569682666667,0.696569682666667
