"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,225.064728928676,225.064728928676,6977,30,31,31,432182.290758067,245.124395885184,9.04450832165161,9.04450832165161
2,225.064728928676,225.064728928676,6977,18.9080675883363,31,31,100756.002653535,152.837191604039,9.04450832165161,9.04450832165161
3,225.064728928676,225.064728928676,6977,17.7590047038887,31,31,89890.7188506543,149.616908461421,9.04450832165161,9.04450832165161
4,225.064728928677,225.064728928677,6977,15.5276333284693,31,31,64125.6877320132,136.569821412634,9.04450832165161,9.04450832165161
5,225.064728928677,225.064728928677,6977,12.9708954649085,31,31,57886.2600196433,144.354292474737,9.04450832165161,9.04450832165161
6,225.064728928676,225.064728928676,6977,9.37719139700823,31,31,55755.9769808102,173.370655681714,9.04450832165161,9.04450832165161
7,225.064728928677,225.064728928677,6977.1,11.2500305359697,31,31,53618.0662479066,151.53729233257,9.04450832165161,9.04450832165161
8,225.064728928677,225.064728928677,6977.1,8.0642876865017,31,31,51487.7832090735,184.003828107096,9.04450832165161,9.04450832165161
9,225.064728928677,225.064728928677,6977.1,7.9564516965522,31,31,51138.4201030185,185.049504249225,9.04450832165161,9.04450832165161
