"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,79.7514319567379,79.8244174697616,2474.6,28,29,31,49313.6131849038,85.9648040926208,3.34260032688172,3.40143354482759
2,79.6139707575908,79.6664014942462,2469.6,10.9260340805488,29,31,54694.9603619187,155.854131493915,3.34260032688172,3.31882733101737
3,78.8184836169008,78.8463291487367,2444.2,4.49816642881662,29,31,33126.8709824315,228.211185154108,3.34260032688172,3.29010491026393
4,79.0100840592588,79.0461153586076,2450.5,4.17538496464461,29,31,31918.7307783028,238.783482026866,3.34260032688172,3.3413472674938
5,79.5552710479102,79.6738792167488,2470,3.78815724300302,29,31,30385.202545117,254.24143922381,3.34260032688172,3.35105661466276
6,79.3141905153438,79.3839867142724,2460.9,3.70566736379892,29,31,30041.6443419652,258.016074433954,3.34260032688172,3.32425530322581
7,79.3141905153438,79.3839867142724,2460.9,3.69623521612279,29,31,30003.377030721,258.46633504309,3.34260032688172,3.32425530322581
8,79.3141905153438,79.3839867142724,2460.8,3.69619398949754,29,31,30003.2097053241,258.468309496085,3.34260032688172,3.32425530322581
9,79.2864911768791,79.3550940359999,2459.9,3.70968209452904,29,31,30060.9826163352,257.838426735554,3.34260032688172,3.31911717419355
