"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,568.214850047156,568.214850047156,17614.7,30,31,31,15342727.7411229,1460.5093513998,9.80811802831828,9.80811802831828
2,568.214850047156,568.214850047156,17614.6,6.06076038872696,31,31,8923446.85572886,2961.87409848582,9.80811802831828,9.80811802831828
3,568.214850047156,568.214850047156,17614.7,5.18586647457693,31,31,1801603.78640427,1498.94322876615,9.80811802831828,9.80811802831828
4,568.214850047156,568.214850047156,17614.7,5.08966114948664,31,31,1784742.82462614,1514.18055906031,9.80811802831828,9.80811802831828
5,568.214850047156,568.214850047156,17614.7,5.04265450861991,31,31,1776476.47863908,1521.86997186558,9.80811802831828,9.80811802831828
6,568.214850047156,568.214850047156,17614.7,5.01254712018149,31,31,1771152.41375545,1526.87425809117,9.80811802831828,9.80811802831828
7,568.214850047156,568.214850047156,17614.7,5.00555059528814,31,31,1769911.00952175,1528.04585913384,9.80811802831828,9.80811802831828
8,568.214850047156,568.214850047156,17614.7,5.00524837295652,31,31,1769857.57654375,1528.09663976378,9.80811802831828,9.80811802831828
9,568.214850047156,568.214850047156,17614.8,5.00516159053904,31,31,1769842.23300463,1528.11122250983,9.80811802831828,9.80811802831828
