"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,14,28,NA,NA,NA,NA,NA,NA,NA,NA
1,7,14,17,28,NA,NA,NA,NA,NA,NA,NA
1,7,14,17,25,28,NA,NA,NA,NA,NA,NA
1,4,7,14,17,25,28,NA,NA,NA,NA,NA
1,4,7,14,17,20,25,28,NA,NA,NA,NA
1,4,7,13,16,19,22,25,28,NA,NA,NA
1,4,8,11,14,17,20,25,28,31,NA,NA
