"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,0.410983239168,0.410983239168,12.3,29,30,30,6.48369841527009,0.967062365283761,0.13592064,0.13592064
2,1,1.39617681408,1.39617681408,4.2,2,3,3,0.162701922622086,3.68161944090786,0.103828266666667,0.103828266666667
2,2,0.3015172864,0.3015172864,8.1,26,27,27,0.0026164466993885,0.556745527824359,0.139486459259259,0.139486459259259
3,1,1.39617681408,1.39617681408,4.2,2,3,3,0.162701922622086,3.68161944090786,0.103828266666667,0.103828266666667
3,2,0.633105984698182,0.633105984698182,7,10,11,11,0.00630092330487183,0.615229332559479,0.185346327272727,0.185346327272727
3,3,0.07355005632,0.07355005632,1.2,15,16,16,0.00046024418224785,0.188905048055577,0.1079578,0.1079578
4,1,1.39617681408,1.39617681408,4.2,2,3,3,0.162701922622086,3.68161944090786,0.103828266666667,0.103828266666667
4,2,0.633105984698182,0.633105984698182,7,10,11,11,0.00630092330487183,0.615229332559479,0.185346327272727,0.185346327272727
4,3,0.05321293056,0.05321293056,0.6,11,12,12,0.000448089596700189,0.168571615295501,0.108547733333333,0.108547733333333
4,4,0.1345614336,0.1345614336,0.5,3,4,4,0.00299943003898487,0.402512912674841,0.106188,0.106188
5,1,1.39617681408,1.39617681408,4.2,2,3,3,0.162701922622086,3.68161944090786,0.103828266666667,0.103828266666667
5,2,0.564424049664,0.564424049664,2.8,4,5,5,0.0118999960795195,0.757185884139019,0.141584,0.141584
5,3,0.5137800192,0.5137800192,2.1,3,4,4,0.00121193084451921,0.255858216495469,0.212376,0.212376
5,4,0.79350469632,0.79350469632,2.4,2,3,3,0.0491769530914903,2.0240598995029,0.217095466666667,0.217095466666667
5,5,0.058880821248,0.058880821248,0.9,14,15,15,0.000361608923007447,0.163504954049203,0.103828266666667,0.103828266666667
6,1,1.39617681408,1.39617681408,4.2,2,3,3,0.162701922622086,3.68161944090786,0.103828266666667,0.103828266666667
6,2,0.564424049664,0.564424049664,2.8,4,5,5,0.0118999960795195,0.757185884139019,0.141584,0.141584
6,3,0.5137800192,0.5137800192,2.1,3,4,4,0.00121193084451921,0.255858216495469,0.212376,0.212376
6,4,0.79350469632,0.79350469632,2.4,2,3,3,0.0491769530914903,2.0240598995029,0.217095466666667,0.217095466666667
6,5,0.0313605985745455,0.0313605985745455,0.3,10,11,11,6.68880460529627e-05,0.063388312654492,0.102970181818182,0.102970181818182
6,6,0.1345614336,0.1345614336,0.5,3,4,4,0.00299943003898487,0.402512912674841,0.106188,0.106188
7,1,1.39617681408,1.39617681408,4.2,2,3,3,0.162701922622086,3.68161944090786,0.103828266666667,0.103828266666667
7,2,0.564424049664,0.564424049664,2.8,4,5,5,0.0118999960795195,0.757185884139019,0.141584,0.141584
7,3,0.5137800192,0.5137800192,2.1,3,4,4,0.00121193084451921,0.255858216495469,0.212376,0.212376
7,4,0.79350469632,0.79350469632,2.4,2,3,3,0.0491769530914903,2.0240598995029,0.217095466666667,0.217095466666667
7,5,0.0461353486628572,0.0461353486628572,0.3,6,7,7,0.000108150010950843,0.0727200255957516,0.1132672,0.1132672
7,6,0.00550478592,0.00550478592,0,3,4,4,1.23455314176049e-05,0.0258235142207998,0.0849504,0.0849504
7,7,0.1345614336,0.1345614336,0.5,3,4,4,0.00299943003898487,0.402512912674841,0.106188,0.106188
8,1,1.39617681408,1.39617681408,4.2,2,3,3,0.162701922622086,3.68161944090786,0.103828266666667,0.103828266666667
8,2,0.564424049664,0.564424049664,2.8,4,5,5,0.0118999960795195,0.757185884139019,0.141584,0.141584
8,3,0.5137800192,0.5137800192,2.1,3,4,4,0.00121193084451921,0.255858216495469,0.212376,0.212376
8,4,0.79350469632,0.79350469632,2.4,2,3,3,0.0491769530914903,2.0240598995029,0.217095466666667,0.217095466666667
8,5,0.05545562112,0.05545562112,0.2,2,3,3,0.000202184056616937,0.129782460980538,0.1132672,0.1132672
8,6,0.03425200128,0.03425200128,0.2,4,5,5,0.000156079720388886,0.0867166194505794,0.10760384,0.10760384
8,7,0.00244657152,0.00244657152,0,2,3,3,5.98571220247511e-06,0.0223306038970332,0.0849504,0.0849504
8,8,0.1345614336,0.1345614336,0.5,3,4,4,0.00299943003898487,0.402512912674841,0.106188,0.106188
9,1,1.39617681408,1.39617681408,4.2,2,3,3,0.162701922622086,3.68161944090786,0.103828266666667,0.103828266666667
9,2,0.564424049664,0.564424049664,2.8,4,5,5,0.0118999960795195,0.757185884139019,0.141584,0.141584
9,3,0.448538112,0.448538112,1.3,2,3,3,0.00253093869057255,0.459180423890056,0.188778666666667,0.188778666666667
9,4,0.93214374912,0.93214374912,2.8,2,3,3,0.0485298518494196,2.01069887492119,0.2548512,0.2548512
9,5,0.14353219584,0.14353219584,0.4,2,3,3,0.00340682284926435,0.532742479696644,0.132145066666667,0.132145066666667
9,6,0.01957257216,0.01957257216,0.1,2,3,3,3.19237984132006e-05,0.0515703206844762,0.1132672,0.1132672
9,7,0.04730038272,0.04730038272,0.1,2,3,3,0.000214667974894257,0.133729180064809,0.103828266666667,0.103828266666667
9,8,0.00244657152,0.00244657152,0,2,3,3,5.98571220247511e-06,0.0223306038970332,0.0849504,0.0849504
9,9,0.1345614336,0.1345614336,0.5,3,4,4,0.00299943003898487,0.402512912674841,0.106188,0.106188
