"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,82.9154458002803,82.9154458002803,2487.5,29,30,30,106583.161802371,123.990205346512,10.6797173025778,10.6797173025778
2,82.9154458002803,82.9154458002803,2487.5,16.735212443754,30,30,65523.7608500217,132.175817809546,10.6797173025778,10.6797173025778
3,82.9154458002803,82.9154458002803,2487.5,23.5788670031426,30,30,26438.9636442825,69.1766855013462,10.6797173025778,10.6797173025778
4,82.9154458002803,82.9154458002803,2487.4,19.3326159803451,30,30,20340.6677899505,67.8119204920372,10.6797173025778,10.6797173025778
5,82.9154458002803,82.9154458002803,2487.5,14.1674846543531,30,30,18351.6915413582,77.1070951531701,10.6797173025778,10.6797173025778
6,82.9154458002803,82.9154458002803,2487.5,13.4291715791155,30,30,18161.8067584708,79.1906376532491,10.6797173025778,10.6797173025778
7,82.9154458002803,82.9154458002803,2487.4,7.09059405956262,30,30,18130.9371445203,119.263398755859,10.6797173025778,10.6797173025778
8,82.9154458002803,82.9154458002803,2487.5,7.08278325854557,30,30,18120.9452756352,119.322539536254,10.6797173025778,10.6797173025778
9,82.9154458002803,82.9154458002803,2487.5,7.08277617101421,30,30,18120.9362202089,119.322593303865,10.6797173025778,10.6797173025778
