"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,185,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,84,177,365,NA,NA,NA,NA,NA,NA,NA,NA
1,84,141,175,365,NA,NA,NA,NA,NA,NA,NA
1,84,144,170,298,365,NA,NA,NA,NA,NA,NA
1,84,120,142,164,262,365,NA,NA,NA,NA,NA
1,84,146,166,187,252,300,365,NA,NA,NA,NA
1,44,84,149,176,191,219,258,365,NA,NA,NA
1,25,84,104,131,181,191,232,292,365,NA,NA
1,7,78,84,140,178,195,238,289,305,365,NA
1,54,65,84,91,136,175,190,229,245,322,365
1,48,84,132,139,149,170,187,209,243,307,334
1,84,94,97,133,144,183,187,191,208,213,250
1,13,46,63,84,137,171,188,203,223,239,245
