"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,44.549103502267,44.405751863484,16208.1,43,44,365,1279234.8782008,347.840812267102,2.15967002472955,2.50028334109091
2,43.9572380453849,43.649731165265,15932.2,41.3475091359545,44,365,443768.03661765,209.167961770213,2.15967002472955,2.47616501054288
3,43.8604024133263,43.7432156969128,15966.3,28.8343733000459,44,365,273103.346317032,199.094242680448,2.15967002472955,2.49343005084803
4,43.6440836575809,43.5783107366737,15906.1,22.9330812166335,44,365,214514.731934475,200.10415216316,2.15967002472955,2.54713496174087
5,43.4719286775839,43.503426156116,15878.8,19.3563706270085,44,365,151568.825616081,184.980656277128,2.15967002472955,2.4885488412394
6,43.8695050756505,43.8834882755052,16017.5,17.7515305721067,44,365,148200.152892575,192.155261642519,2.15967002472955,2.49551612976347
7,43.9770030394271,43.9451206611742,16040,13.1117903205043,44,365,120933.257090599,207.297223092379,2.15967002472955,2.47905286358697
8,43.634729089271,43.7127854968276,15955.1,10.1428711664113,44,365,129640.95617875,251.422615361697,2.15967002472955,2.40065576414977
9,44.280190998594,44.2311139979635,16144.3,13.810617272555,44,365,129190.023689862,207.706969592426,2.15967002472955,2.49888415303062
10,44.5332550266051,44.5101858642911,16246.3,4.0664516975667,44,365,152594.816897671,534.389061260736,2.15967002472955,2.39266234527123
11,44.4233578991741,44.397969540604,16205.1,6.19680107213428,44,365,150103.997940149,377.916950521039,2.15967002472955,2.43916381925991
12,44.6581331251137,44.5082074140472,16245.5,5.3081161790587,44,365,324271.119427183,624.419400010343,2.15967002472955,2.27515348258192
