"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,268,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,196,268,365,NA,NA,NA,NA,NA,NA,NA,NA
1,100,146,269,365,NA,NA,NA,NA,NA,NA,NA
1,72,124,162,271,365,NA,NA,NA,NA,NA,NA
1,30,72,133,186,269,365,NA,NA,NA,NA,NA
1,54,79,134,186,268,342,365,NA,NA,NA,NA
1,56,72,124,179,246,268,321,365,NA,NA,NA
1,53,77,132,154,182,253,268,308,365,NA,NA
1,24,61,80,134,160,184,250,268,343,365,NA
1,30,58,89,129,166,188,247,269,303,328,365
1,33,63,109,135,168,184,223,251,279,320,350
1,38,55,69,78,128,144,193,224,252,276,300
1,10,23,41,53,68,79,128,180,223,255,274
