"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,243,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,200,249,365,NA,NA,NA,NA,NA,NA,NA,NA
1,122,161,249,365,NA,NA,NA,NA,NA,NA,NA
1,119,141,229,252,365,NA,NA,NA,NA,NA,NA
1,7,121,152,234,255,365,NA,NA,NA,NA,NA
1,79,127,163,233,252,335,365,NA,NA,NA,NA
1,74,80,125,151,224,253,301,365,NA,NA,NA
1,7,71,126,196,225,252,303,323,365,NA,NA
1,8,16,44,122,204,233,250,300,330,365,NA
1,11,36,50,76,128,163,197,232,249,297,365
1,23,31,53,72,129,150,207,231,254,275,304
1,38,55,69,78,128,144,193,224,252,276,300
1,10,23,41,53,68,79,128,180,223,255,274
