"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,24,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,24,45,365,NA,NA,NA,NA,NA,NA,NA,NA
1,23,51,94,365,NA,NA,NA,NA,NA,NA,NA
1,26,54,89,115,365,NA,NA,NA,NA,NA,NA
1,31,48,131,155,125,365,NA,NA,NA,NA,NA
1,25,47,99,118,142,163,365,NA,NA,NA,NA
1,30,52,87,120,140,160,179,365,NA,NA,NA
1,48,102,118,197,256,271,295,341,365,NA,NA
1,59,102,117,151,167,190,215,255,281,365,NA
1,26,51,101,119,144,186,203,228,255,284,365
1,39,61,100,125,149,193,227,255,285,311,336
1,38,55,69,78,128,144,193,224,252,276,300
1,10,23,41,53,68,79,128,180,223,255,274
