"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,96,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,96,162,366,NA,NA,NA,NA,NA,NA,NA,NA
1,75,96,160,366,NA,NA,NA,NA,NA,NA,NA
1,86,95,151,209,366,NA,NA,NA,NA,NA,NA
1,77,96,102,149,269,366,NA,NA,NA,NA,NA
1,15,81,96,108,164,265,366,NA,NA,NA,NA
1,82,93,103,120,125,163,256,366,NA,NA,NA
1,26,61,81,96,106,141,161,188,366,NA,NA
1,35,51,88,94,100,164,239,266,344,366,NA
1,79,87,94,108,138,163,167,209,219,231,366
1,16,29,88,94,97,111,115,121,147,189,300
1,31,57,78,81,94,101,113,155,163,241,292
1,4,60,84,94,104,114,150,160,169,234,260
