"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,67,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,66,231,365,NA,NA,NA,NA,NA,NA,NA,NA
1,66,151,254,365,NA,NA,NA,NA,NA,NA,NA
1,66,105,156,224,365,NA,NA,NA,NA,NA,NA
1,66,120,152,249,293,365,NA,NA,NA,NA,NA
1,66,106,152,193,220,254,365,NA,NA,NA,NA
1,27,66,112,156,237,278,330,365,NA,NA,NA
1,66,105,150,176,200,232,256,315,365,NA,NA
1,48,67,108,151,172,194,230,281,323,365,NA
1,32,68,102,154,175,203,222,262,291,334,365
1,41,64,92,148,171,195,223,255,278,306,335
1,38,55,69,78,128,144,193,224,252,276,300
1,10,23,41,53,68,79,128,180,223,255,274
