"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,219,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,69,243,365,NA,NA,NA,NA,NA,NA,NA,NA
1,241,265,285,365,NA,NA,NA,NA,NA,NA,NA
1,34,232,272,282,365,NA,NA,NA,NA,NA,NA
1,61,191,227,272,284,365,NA,NA,NA,NA,NA
1,23,49,228,262,271,288,365,NA,NA,NA,NA
1,39,76,241,272,281,284,299,365,NA,NA,NA
1,48,129,152,194,241,272,280,318,365,NA,NA
1,39,147,189,249,263,272,277,314,351,365,NA
1,42,59,139,180,251,263,273,281,303,358,365
1,39,81,111,158,166,251,263,272,282,346,349
1,4,39,59,91,155,160,236,262,273,278,315
1,38,132,148,198,222,230,263,272,286,298,304
