"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,285,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,41,222,365,NA,NA,NA,NA,NA,NA,NA,NA
1,47,109,170,365,NA,NA,NA,NA,NA,NA,NA
1,42,106,222,308,365,NA,NA,NA,NA,NA,NA
1,44,107,183,227,280,365,NA,NA,NA,NA,NA
1,45,108,138,189,285,328,365,NA,NA,NA,NA
1,45,108,166,198,221,284,307,365,NA,NA,NA
1,41,109,160,213,234,282,300,345,365,NA,NA
1,45,110,126,168,221,238,285,300,337,365,NA
1,46,111,132,178,199,229,252,281,326,345,365
1,33,63,109,135,168,184,223,251,279,320,350
1,38,55,69,78,128,144,193,224,252,276,300
1,10,23,41,53,68,79,128,180,223,255,274
