"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200305,2,1,15039.7027605873,15039.7027605873,150397,9,10,10,6774869.84160752,19626.9130012056,295.7406592,295.7406592
200305,2,2,23344.4580459691,23344.4601360415,490233.7,18,19,21,1181939.9062631,11305.5235091143,296.1795696,296.192491002947
200305,3,1,24478.0107509952,24478.0107509952,97912,3,4,4,1137671.72427558,7839.14921240998,295.6557088,295.6557088
200305,3,2,8747.49743364864,8747.49743364864,52485,5,6,6,56196.5647207154,1635.13105406028,295.7972928,295.7972928
200305,3,3,23344.4580459691,23344.4601360415,490233.7,18,19,21,1181939.9062631,11305.5235091143,296.1795696,296.192491002947
200305,4,1,24478.0107509952,24478.0107509952,97912,3,4,4,1137671.72427558,7839.14921240998,295.6557088,295.6557088
200305,4,2,8747.49743364864,8747.49743364864,52485,5,6,6,56196.5647207154,1635.13105406028,295.7972928,295.7972928
200305,4,3,22740.7370239803,22740.7363246125,386592.5,14,15,17,1803103.13403201,13085.1677046664,296.122936,296.131751963733
200305,4,4,25610.71067136,25610.71067136,102442.8,3,4,4,-1.08511783006049e-15,NA,296.4202624,296.4202624
200305,5,1,24478.0107509952,24478.0107509952,97912,3,4,4,1137671.72427558,7839.14921240998,295.6557088,295.6557088
200305,5,2,8983.32973421568,8983.32973421568,26950,2,3,3,224793.433103487,4327.47295286465,295.7548176,295.7548176
200305,5,3,8511.6651330816,8511.6651330816,25535,2,3,3,7.99039178538958e-17,8.15880567408703e-08,295.839768,295.839768
200305,5,4,22740.7370239803,22740.7363246125,386592.5,14,15,17,1803103.13403201,13085.1677046664,296.122936,296.131751963733
200305,5,5,25610.71067136,25610.71067136,102442.8,3,4,4,-1.08511783006049e-15,NA,296.4202624,296.4202624
200305,6,1,24478.0107509952,24478.0107509952,97912,3,4,4,1137671.72427558,7839.14921240998,295.6557088,295.6557088
200305,6,2,8747.49743364864,8747.49743364864,52485,5,6,6,56196.5647207154,1635.13105406028,295.7972928,295.7972928
200305,6,3,21304.9941079143,21304.9941079143,85220,3,4,4,9080314.94964339,22146.7959857926,295.936540664,295.936540664
200305,6,4,24402.0919416552,24402.093568149,268423,8,9,11,2411930.58272167,13928.0454585173,296.152527056,296.173796119111
200305,6,5,20624.5583382669,20624.5583382669,61873.7,2,3,3,9602086.52082585,28282.9925819175,296.347912976,296.347912976
200305,6,6,25611.93395712,25611.93395712,76835.8,2,3,3,7.23472097942302e-16,2.45501101685059e-07,296.4344208,296.4344208
200305,7,1,24478.0107509952,24478.0107509952,97912,3,4,4,1137671.72427558,7839.14921240998,295.6557088,295.6557088
