"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,122,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,180,256,365,NA,NA,NA,NA,NA,NA,NA,NA
1,157,237,262,365,NA,NA,NA,NA,NA,NA,NA
1,105,143,235,262,365,NA,NA,NA,NA,NA,NA
1,120,138,236,260,280,365,NA,NA,NA,NA,NA
1,121,141,202,238,261,282,365,NA,NA,NA,NA
1,122,142,180,205,234,260,281,365,NA,NA,NA
1,32,51,153,182,213,241,259,283,365,NA,NA
1,26,34,56,118,166,219,238,260,281,365,NA
1,4,72,129,149,176,200,235,262,281,308,365
1,33,48,51,122,143,184,215,235,257,283,304
1,11,29,38,44,120,151,174,207,240,260,281
1,10,24,47,52,56,72,135,154,214,241,259
