"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,220,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,153,208,365,NA,NA,NA,NA,NA,NA,NA,NA
1,87,239,266,365,NA,NA,NA,NA,NA,NA,NA
1,148,183,225,267,365,NA,NA,NA,NA,NA,NA
1,97,188,235,270,300,365,NA,NA,NA,NA,NA
1,15,106,182,234,267,295,365,NA,NA,NA,NA
1,91,187,218,249,264,268,321,365,NA,NA,NA
1,10,72,142,178,213,240,268,300,365,NA,NA
1,7,74,82,96,189,236,263,266,304,365,NA
1,150,172,186,210,201,242,254,266,297,346,365
1,12,72,110,160,180,237,248,266,296,300,341
1,8,71,78,153,173,228,234,253,267,291,296
1,87,96,80,128,161,168,193,222,232,264,268
