"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,170,365,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,188,245,365,NA,NA,NA,NA,NA,NA,NA,NA
1,140,192,246,365,NA,NA,NA,NA,NA,NA,NA
1,142,188,192,244,365,NA,NA,NA,NA,NA,NA
1,139,175,194,228,243,365,NA,NA,NA,NA,NA
1,135,163,191,194,220,243,365,NA,NA,NA,NA
1,16,120,138,168,191,205,247,365,NA,NA,NA
1,120,128,190,193,198,226,237,252,365,NA,NA
1,40,115,136,190,194,235,249,281,327,365,NA
1,51,57,125,135,181,187,197,218,225,259,365
1,21,143,185,189,196,212,226,231,254,271,311
1,11,142,158,168,190,195,226,233,243,292,340
1,34,73,83,126,133,141,169,188,195,227,259
