"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,621.35997185945,622.922976172248,227366.9,39,40,365,1826261212.62215,13841.3569629965,2.02308091984031,1.6192678912
2,731.526721881278,723.741816193563,264165.7,33.8988273190967,40,365,185285747.394791,4751.73676857331,2.02308091984031,1.68135248813005
3,726.821896596717,723.787472509536,264182.4,20.0343425172643,40,365,117752540.067513,5056.57631181827,2.02308091984031,1.67914685644197
4,718.596861247776,719.145340149987,262488,26.9296055331878,40,365,47853992.7480519,2735.51248368841,2.02308091984031,1.79822221054013
5,715.677885990403,715.700407420969,261230.6,23.3866036762363,40,365,28248787.3194534,2271.47439185282,2.02308091984031,1.80315796620274
6,732.541909217947,734.373814291159,268046.3,23.7164085997444,40,365,27052227.5174635,2205.6687719,2.02308091984031,1.9837155251225
7,716.320699447413,718.369578585344,262204.9,18.1381296206321,40,365,22291377.7472067,2327.79714168179,2.02308091984031,1.93688437745388
8,713.159716804702,713.391588969243,260387.9,18.0519249015383,40,365,19086512.1943738,2159.84174205696,2.02308091984031,1.85953673263462
9,719.870284307012,721.077356011446,263193.2,16.2816594648263,40,365,19462332.4628539,2314.48486024997,2.02308091984031,2.04204987867867
10,714.103126888098,713.67122505787,260489.9,15.9851566741892,40,365,21449571.7541997,2455.84018170564,2.02308091984031,1.86314262027689
11,723.973105647774,724.572240379132,264469,14.8271849715658,40,365,26423051.3889191,2848.25094681308,2.02308091984031,1.7581021876895
