"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,157,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,154,168,366,NA,NA,NA,NA,NA,NA,NA,NA
1,93,145,168,366,NA,NA,NA,NA,NA,NA,NA
1,84,157,169,248,366,NA,NA,NA,NA,NA,NA
1,86,156,166,169,201,366,NA,NA,NA,NA,NA
1,88,141,168,172,218,308,366,NA,NA,NA,NA
1,26,87,148,164,169,262,331,366,NA,NA,NA
1,18,57,82,156,163,170,275,319,366,NA,NA
1,27,51,76,150,162,169,172,236,289,366,NA
1,64,84,108,134,164,170,253,272,296,356,366
1,51,81,115,129,148,153,157,168,172,199,285
1,12,30,62,77,83,126,157,168,172,183,269
1,61,85,89,117,141,149,164,168,173,250,314
