"strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1,7762.80956937398,7762.80956937398,232884.3,29,30,30,470084174.631987,8234.37981111455,4.75978396919111,4.75978396919111
2,1,13591.7551662188,13591.7551662188,108734,7,8,8,4287087.7851294,14804.1778764645,9.23651658786667,9.23651658786667
2,2,5643.19298870313,5643.19298870313,124150.2,21,22,22,71862.0523702759,2676.36623197003,3.13188119876364,3.13188119876364
3,1,4209.44062844713,4209.44062844713,21047.2,4,5,5,68999.0495950261,1823.26860643417,1.92139115712,1.92139115712
3,2,29228.946062505,29228.946062505,87686.8,2,3,3,14726927.8016169,35026.6522798668,21.4283923057778,21.4283923057778
3,3,5643.19298870313,5643.19298870313,124150.2,21,22,22,71862.0523702759,2676.36623197003,3.13188119876364,3.13188119876364
4,1,4631.16218399309,4631.16218399309,27787,5,6,6,39755.2743426464,1375.29245366151,2.13290160693333,2.13290160693333
4,2,35221.3903653478,35221.3903653478,105664.2,2,3,3,16647060.8243115,37240.1426014883,25.2054758684444,25.2054758684444
4,3,6934.41812147904,6934.41812147904,69344.2,9,10,10,39490.9853031158,1498.47845885578,3.42916023248,3.42916023248
4,4,2735.36015149335,2735.36015149335,30089,10,11,11,74343.3709335299,2113.27522346451,1.82618904581818,1.82618904581818
5,1,4209.44062844713,4209.44062844713,21047.2,4,5,5,68999.0495950261,1823.26860643417,1.92139115712,1.92139115712
5,2,29228.946062505,29228.946062505,87686.8,2,3,3,14726927.8016169,35026.6522798668,21.4283923057778,21.4283923057778
5,3,17732.6247862886,17732.6247862886,53197.9,2,3,3,760033.56646693,7957.17553524773,9.80790123733333,9.80790123733333
5,4,5107.926215772,5107.926215772,40863.4,7,8,8,12094.5777889246,786.318443608792,2.4237003946,2.4237003946
5,5,2735.36015149335,2735.36015149335,30089,10,11,11,74343.3709335299,2113.27522346451,1.82618904581818,1.82618904581818
6,1,4209.44062844713,4209.44062844713,21047.2,4,5,5,68999.0495950261,1823.26860643417,1.92139115712,1.92139115712
6,2,29228.946062505,29228.946062505,87686.8,2,3,3,14726927.8016169,35026.6522798668,21.4283923057778,21.4283923057778
6,3,17732.6247862886,17732.6247862886,53197.9,2,3,3,760033.56646693,7957.17553524773,9.80790123733333,9.80790123733333
6,4,5107.926215772,5107.926215772,40863.4,7,8,8,12094.5777889246,786.318443608792,2.4237003946,2.4237003946
6,5,5272.10175892838,5272.10175892838,15816.3,2,3,3,104577.274867869,2951.62521961536,4.15085588373333,4.15085588373333
6,6,1784.08204870522,1784.08204870522,14272.7,7,8,8,10821.9735466469,743.80028492057,0.9544389816,0.9544389816
7,1,4209.44062844713,4209.44062844713,21047.2,4,5,5,68999.0495950261,1823.26860643417,1.92139115712,1.92139115712
7,2,29228.946062505,29228.946062505,87686.8,2,3,3,14726927.8016169,35026.6522798668,21.4283923057778,21.4283923057778
7,3,17732.6247862886,17732.6247862886,53197.9,2,3,3,760033.56646693,7957.17553524773,9.80790123733333,9.80790123733333
7,4,6092.3142493655,6092.3142493655,18276.9,2,3,3,16204.6007062148,1161.88118566502,3.01428560426667,3.01428560426667
7,5,4517.2933956159,4517.2933956159,22586.5,4,5,5,1087.5001332503,228.898928279449,2.0693492688,2.0693492688
7,6,5272.10175892838,5272.10175892838,15816.3,2,3,3,104577.274867869,2951.62521961536,4.15085588373333,4.15085588373333
7,7,1784.08204870522,1784.08204870522,14272.7,7,8,8,10821.9735466469,743.80028492057,0.9544389816,0.9544389816
8,1,4209.44062844713,4209.44062844713,21047.2,4,5,5,68999.0495950261,1823.26860643417,1.92139115712,1.92139115712
8,2,29228.946062505,29228.946062505,87686.8,2,3,3,14726927.8016169,35026.6522798668,21.4283923057778,21.4283923057778
8,3,17732.6247862886,17732.6247862886,53197.9,2,3,3,760033.56646693,7957.17553524773,9.80790123733333,9.80790123733333
8,4,6092.3142493655,6092.3142493655,18276.9,2,3,3,16204.6007062148,1161.88118566502,3.01428560426667,3.01428560426667
8,5,4517.2933956159,4517.2933956159,22586.5,4,5,5,1087.5001332503,228.898928279449,2.0693492688,2.0693492688
8,6,5272.10175892838,5272.10175892838,15816.3,2,3,3,104577.274867869,2951.62521961536,4.15085588373333,4.15085588373333
8,7,2187.22224729024,2187.22224729024,8748.9,3,4,4,7983.9444768914,656.703306403587,1.2842943056,1.2842943056
8,8,1380.94185012019,1380.94185012019,5523.8,3,4,4,1236.75417378334,258.465237894844,0.6245836576,0.6245836576
9,1,1959.92238868531,1959.92238868531,5879.8,2,3,3,2706.11882476042,474.805764919925,0.916322209066667,0.916322209066667
9,2,7302.40197930086,7302.40197930086,21907.2,2,3,3,166446.185327715,3723.74107492323,3.3494810048,3.3494810048
9,3,35221.3903653478,35221.3903653478,105664.2,2,3,3,16647060.8243115,37240.1426014883,25.2054758684444,25.2054758684444
9,4,10458.5114532925,10458.5114532925,41834,3,4,4,37426.2657262323,1421.83335192167,5.4070788016,5.4070788016
9,5,4343.27399090611,4343.27399090611,13029.8,2,3,3,307.634743766597,160.088539804895,2.02995116106667,2.02995116106667
9,6,4826.7711429673,4826.7711429673,14480.3,2,3,3,767.97056807847,252.938442682888,2.19114454506667,2.19114454506667
9,7,5272.10175892838,5272.10175892838,15816.3,2,3,3,104577.274867869,2951.62521961536,4.15085588373333,4.15085588373333
9,8,2187.22224729024,2187.22224729024,8748.9,3,4,4,7983.9444768914,656.703306403587,1.2842943056,1.2842943056
9,9,1380.94185012019,1380.94185012019,5523.8,3,4,4,1236.75417378334,258.465237894844,0.6245836576,0.6245836576
