"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1131.48016918711,1131.40080572496,35073.4,29,30,31,1954407.09991227,530.946295914514,0.345738993548387,0.344521066666667
2,1128.08147430028,1127.96469593133,34966.9,21.5803319439316,30,31,1143320.34276625,477.888956749765,0.345738993548387,0.350351891612903
3,1129.78726710503,1129.7841319492,35023.3,20.654451889274,30,31,1118266.58405151,484.385512794637,0.345738993548387,0.339162188387097
4,1129.78726710503,1129.7841319492,35023.3,18.929628292473,30,31,1103604.16109615,505.497634580762,0.345738993548387,0.339162188387097
5,1129.78726710503,1129.7841319492,35023.3,14.8481509402858,30,31,1083643.46461573,576.327127376445,0.345738993548387,0.339162188387097
6,1127.961217152,1127.86538384127,34963.8,14.9186321216382,30,31,1093296.37518003,577.279129074901,0.345738993548387,0.348022606451613
7,1127.961217152,1127.86538384127,34963.8,12.4951362101136,30,31,1122538.93788488,650.196944979196,0.345738993548387,0.348022606451613
8,1127.961217152,1127.86538384127,34963.8,8.95566718889585,30,31,1141850.01342787,808.362475556034,0.345738993548387,0.348022606451613
9,1127.961217152,1127.86538384127,34963.8,7.31656620211868,30,31,1284520.90283532,982.159903550314,0.345738993548387,0.348022606451613
