"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,1617.33657582658,1617.33657582658,50137.4,30,31,31,6541992.0704271,953.691824074811,0.764096877419355,0.764096877419355
2,1617.33657582658,1617.33657582658,50137.4,4.80468942444513,31,31,2919574.82228654,2028.56892193081,0.764096877419355,0.764096877419355
3,1617.33657582658,1617.33657582658,50137.5,4.25976565794133,31,31,2777783.49137254,2189.14570316104,0.764096877419355,0.764096877419355
4,1617.33657582658,1617.33657582658,50137.5,4.25246249730406,31,31,2775539.44228973,2191.51341330456,0.764096877419355,0.764096877419355
5,1617.33657582658,1617.33657582658,50137.5,4.03582538443247,31,31,2703280.72851375,2264.38174931751,0.764096877419355,0.764096877419355
6,1617.33657582658,1617.33657582658,50137.4,4.01053472022131,31,31,2694892.32231824,2273.5729430978,0.764096877419355,0.764096877419355
7,1617.33657582658,1617.33657582658,50137.5,4.01622338158614,31,31,2696816.06426692,2271.50805312166,0.764096877419355,0.764096877419355
8,1617.33657582658,1617.33657582658,50137.5,4.01786443555733,31,31,2697381.29637742,2270.91810982598,0.764096877419355,0.764096877419355
9,1617.33657582658,1617.33657582658,50137.5,4.02462248949618,31,31,2699659.74401325,2268.47453094731,0.764096877419355,0.764096877419355
