"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,169.3924568064,169.3924568064,5081.8,29,30,30,38711.1784991169,74.7242003104764,0.06796032,0.06796032
2,169.3924568064,169.3924568064,5081.7,27.9932640933641,30,30,30937.3277992633,68.0981977334821,0.06796032,0.06796032
3,169.3924568064,169.3924568064,5081.7,23.724481338836,30,30,28850.4345342921,72.0166870115652,0.06796032,0.06796032
4,169.3924568064,169.3924568064,5081.7,23.7432158114472,30,30,23707.852299661,65.2549264570083,0.06796032,0.06796032
5,169.3924568064,169.3924568064,5081.7,17.5851771672931,30,30,23488.9548044165,76.9136265621069,0.06796032,0.06796032
6,169.3924568064,169.3924568064,5081.8,18.5629458309952,30,30,23414.1334018855,74.4530291627297,0.06796032,0.06796032
7,169.3924568064,169.3924568064,5081.8,17.8877722404364,30,30,24105.4532726145,77.1586833131462,0.06796032,0.06796032
8,169.3924568064,169.3924568064,5081.8,17.3293006503664,30,30,24876.2496409219,79.8211841457836,0.06796032,0.06796032
9,169.3924568064,169.3924568064,5081.9,15.8716387030057,30,30,26780.7512758947,87.1369776976438,0.06796032,0.06796032
