"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,17,28,NA,NA,NA,NA,NA,NA,NA,NA
1,8,11,17,28,NA,NA,NA,NA,NA,NA,NA
1,8,11,15,18,28,NA,NA,NA,NA,NA,NA
1,8,11,15,18,24,28,NA,NA,NA,NA,NA
1,8,11,15,18,22,25,28,NA,NA,NA,NA
1,4,8,11,15,18,22,25,28,NA,NA,NA
1,4,7,11,14,17,20,23,26,31,NA,NA
