"strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
1,314.881412716392,314.894995740774,9446.8,28,29,30,66536.1622816785,99.8541546901761,0.108137139733333,0.110142587586207
2,314.652834078875,314.655381720768,9439.6,11.838360584863,29,30,11819.3235419519,68.9490895298805,0.108137139733333,0.109795182762667
3,314.387671728915,314.393675883422,9431.8,5.11354039276959,29,30,7248.84389193681,96.1415026025485,0.108137139733333,0.109658095127273
4,314.387671728915,314.393675883422,9431.8,4.32780911489177,29,30,6649.93714342659,105.658525954249,0.108137139733333,0.109658095127273
5,314.240497185551,314.245096990999,9427.4,4.04086367588277,29,30,6419.80388326386,110.225694452462,0.108137139733333,0.1083188392
6,314.240497185551,314.245096990999,9427.3,3.79453586300008,29,30,6213.98366873364,114.796092849491,0.108137139733333,0.1083188392
7,314.240497185551,314.245096990999,9427.3,3.65906328985932,29,30,6101.62694792858,117.667806507193,0.108137139733333,0.1083188392
8,314.240497185551,314.245096990999,9427.3,3.59937276019934,29,30,6051.33778116922,119.017365555996,0.108137139733333,0.1083188392
9,314.249150020046,314.256016356422,9427.7,4.63654448307685,29,30,7072.96938057135,102.814355199089,0.108137139733333,0.108456490311111
